id,name,highway,oneway,defect_class,severity,tiger_reviewed,tiger_cfcc,tiger_name_base,surface,lanes,maxspeed
112262550,Allenhurst Boulevard East,residential,yes,AB,CRITICAL,no,A41,Allenhurst,asphalt,,
112262553,Allenhurst Boulevard East,residential,yes,AB,CRITICAL,no,A41,Allenhurst,asphalt,,
112262571,Allenhurst Boulevard East,residential,yes,AB,CRITICAL,no,A41,Allenhurst,asphalt,,
19060888,Allenhurst Boulevard West,residential,yes,AB,CRITICAL,no,A41,Allenhurst,asphalt,,
112262560,Allenhurst Boulevard West,residential,yes,AB,CRITICAL,no,A41,Allenhurst,asphalt,,
112262568,Allenhurst Boulevard West,residential,yes,AB,CRITICAL,no,A41,Allenhurst,asphalt,,
19069009,Bishopsgate Drive,residential,yes,AB,CRITICAL,no,A41,Bishopsgate,asphalt,,
200417095,Bishopsgate Drive,residential,yes,AB,CRITICAL,no,A41,Bishopsgate,asphalt,,
200417118,Bishopsgate Drive,residential,yes,AB,CRITICAL,no,A41,Bishopsgate,asphalt,,
61357367,Brandywine Drive,residential,yes,AB,CRITICAL,no,A41,Brandywine,asphalt,,
19063207,Carpenters Green Lane,residential,yes,AB,CRITICAL,no,A41,Carpenters Green,,,
112260554,Carpenters Green Lane,residential,yes,AB,CRITICAL,no,A41,Carpenters Green,,,
112262529,Carpenters Run,residential,yes,AB,CRITICAL,no,A41,Carpenters,,,
112262537,Carpenters Run,residential,yes,AB,CRITICAL,no,A41,Carpenters,,,
112262544,Carpenters Run,residential,yes,AB,CRITICAL,no,A41,Carpenters,,,
112262557,Carpenters Run,residential,yes,AB,CRITICAL,no,A41,Carpenters,,,
112262566,Carpenters Run,residential,yes,AB,CRITICAL,no,A41,Carpenters,,,
112262567,Carpenters Run,residential,yes,AB,CRITICAL,no,A41,Carpenters,,,
112262570,Carpenters Run,residential,yes,AB,CRITICAL,no,A41,Carpenters,,,
112262573,Carpenters Run,residential,yes,AB,CRITICAL,no,A41,Carpenters,,,
112262540,Carpenters Run Drive,residential,yes,AB,CRITICAL,no,A41,Carpenters Run,,,
112262581,Carpenters Run Drive,residential,yes,AB,CRITICAL,no,A41,Carpenters Run,,,
36951645,Carruthers Pond Drive,residential,yes,AB,CRITICAL,no,A41,Carruthers Pond,asphalt,,
36951647,Carruthers Pond Drive,residential,yes,AB,CRITICAL,no,A41,Carruthers Pond,asphalt,,
19056113,Carver Woods Drive,residential,yes,AB,CRITICAL,no,A41,Carver Woods,,,
191705262,Carver Woods Drive,residential,yes,AB,CRITICAL,no,A41,Carver Woods,,,
672205474,Century Circle East,residential,yes,AB,CRITICAL,no,A41,Century,asphalt,,
141907127,Champion Way,residential,yes,AB,CRITICAL,no,A41,Champion,,,
141907129,Champion Way,residential,yes,AB,CRITICAL,no,A41,Champion,,,
84231464,Columbia Circle,residential,yes,AB,CRITICAL,no,A41,Columbia,,,
84231465,Columbia Circle,residential,yes,AB,CRITICAL,no,A41,Columbia,,,
19071713,Commerce Boulevard,residential,yes,AB,CRITICAL,no,A41,Commerce,,,
203976729,Commerce Boulevard,residential,yes,AB,CRITICAL,no,A41,Commerce,,,
1019963872,Commerce Boulevard,residential,yes,AB,CRITICAL,no,A41,Commerce,,,
1019963877,Commerce Boulevard,residential,yes,AB,CRITICAL,no,A41,Commerce,,,
18982197,Dale Hollow Lane,residential,yes,AB,CRITICAL,no,A41,Dale Hollow,,,
543072285,Dale Hollow Lane,residential,yes,AB,CRITICAL,no,A41,Dale Hollow,,,
543087167,Daycrest Drive,residential,yes,AB,CRITICAL,no,A41,Daycrest,,,
543087168,Daycrest Drive,residential,yes,AB,CRITICAL,no,A41,Daycrest,,,
18979142,Dues Drive,residential,yes,AB,CRITICAL,no,A45,Dues,,,
18986403,Dues Drive,residential,yes,AB,CRITICAL,no,A45,Dues,,,
19056371,Executive Park Drive,residential,yes,AB,CRITICAL,no,A41,Executive Park,,,
531207188,Executive Park Drive,residential,yes,AB,CRITICAL,no,A41,Executive Park,,,
52431011,Forest Place,residential,yes,AB,CRITICAL,no,A41,Forest,asphalt,,
33860463,Gateclub Drive,residential,yes,AB,CRITICAL,no,A41,Gateclub,,,
33860551,Gateclub Drive,residential,yes,AB,CRITICAL,no,A41,Gateclub,,,
19071446,Giverny Boulevard,residential,yes,AB,CRITICAL,no,A41,Giverny,,,
112260555,Giverny Boulevard,residential,yes,AB,CRITICAL,no,A41,Giverny,,,
52096424,Greenville Avenue,residential,yes,AB,CRITICAL,no,A41,Greenville,asphalt,,
52096555,Hetherington Lane,residential,yes,AB,CRITICAL,no,A41,Hetherington,asphalt,,
52096558,Hetherington Lane,residential,yes,AB,CRITICAL,no,A41,Hetherington,asphalt,,
19053606,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,2,
531487351,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,4,
531487374,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,2,
531487378,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,3,
531487379,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,3,
730051976,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,2,
730051977,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,2,
730051978,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,2,
1450208279,Kemper Commons Circle,residential,yes,AB,CRITICAL,no,A41,Kemper Commons,asphalt,2,
68507296,Lake Forest Drive,residential,yes,AB,CRITICAL,no,A41,Lake Forest,,,
549117004,Lake Forest Drive,residential,yes,AB,CRITICAL,no,A41,Lake Forest,,3,
549117009,Lake Forest Drive,residential,yes,AB,CRITICAL,no,A41,Lake Forest,,,
549117013,Lake Forest Drive,residential,yes,AB,CRITICAL,no,A41,Lake Forest,,3,
549117018,Lake Forest Drive,residential,yes,AB,CRITICAL,no,A41,Lake Forest,,,
36951629,Linden Boulevard,residential,yes,AB,CRITICAL,no,A41,Linden,asphalt,,
36951630,Linden Boulevard,residential,yes,AB,CRITICAL,no,A41,Linden,asphalt,,
36951639,Linden Boulevard,residential,yes,AB,CRITICAL,no,A41,Linden,asphalt,,
36951624,Little Creek Lane,residential,yes,AB,CRITICAL,no,A41,Little Creek,asphalt,,
36951625,Little Creek Lane,residential,yes,AB,CRITICAL,no,A41,Little Creek,asphalt,,
19054183,Maple Knoll Terrace,residential,yes,AB,CRITICAL,no,A41,Maple Knoll,asphalt,,
1054992607,Maple Knoll Terrace,residential,yes,AB,CRITICAL,no,A41,Maple Knoll,asphalt,,
1054992608,Maple Knoll Terrace,residential,yes,AB,CRITICAL,no,A41,Maple Knoll,asphalt,,
52431248,Oak Street,residential,yes,AB,CRITICAL,no,A41,Oak,,,
61353105,Old Commons Drive,residential,yes,AB,CRITICAL,no,A41,Commons,asphalt,,
61353224,Old Commons Drive,residential,yes,AB,CRITICAL,no,A41,Commons,asphalt,,
543087170,Princeton Square Circle,residential,yes,AB,CRITICAL,no,A41,Princeton Square,asphalt,,
543087171,Princeton Square Circle,residential,yes,AB,CRITICAL,no,A41,Princeton Square,asphalt,,
112263781,Rachel Anne Court,residential,yes,AB,CRITICAL,no,A41,Rachel Anne,,,
112263785,Rachel Anne Court,residential,yes,AB,CRITICAL,no,A41,Rachel Anne,,,
19064240,Ryans Way,residential,yes,AB,CRITICAL,no,A41,Cornell,asphalt,,
112263784,Ryans Way,residential,yes,AB,CRITICAL,no,A41,Cornell,asphalt,,
19055240,Tennyson Drive,residential,yes,AB,CRITICAL,no,A41,Tennyson,,,
112289659,Tennyson Drive,residential,yes,AB,CRITICAL,no,A41,Tennyson,,,
18982898,Timber Drive,residential,yes,AB,CRITICAL,no,A41,Timber,,,
679125321,Timber Drive,residential,yes,AB,CRITICAL,no,A41,Timber,,,
19063510,Towne Commons Way,residential,yes,AB,CRITICAL,no,A41,Towne Commons,,,
553225549,Towne Commons Way,residential,yes,AB,CRITICAL,no,A41,Towne Commons,,,
531658003,Tri-County Parkway East,residential,yes,AB,CRITICAL,no,A41,Tri County,,,35 mph
671732881,Tri-County Parkway East,residential,yes,AB,CRITICAL,no,A41,Tri County,,,35 mph
1374689928,Tri-County Parkway East,residential,yes,AB,CRITICAL,no,A41,Tri County,,,35 mph
1374689929,Tri-County Parkway East,residential,yes,AB,CRITICAL,no,A41,Tri County,,,35 mph
18980018,Triangle Drive,residential,yes,AB,CRITICAL,no,A41,Triangle,,,
543072276,Triangle Drive,residential,yes,AB,CRITICAL,no,A41,Triangle,,,
19063078,Willow Avenue,residential,yes,AB,CRITICAL,no,A41,Willow,asphalt,,
19057926,Richardson Drive,residential,yes,A,CRITICAL,no,A41,Richardson,asphalt,,
19061175,Rogan Drive,residential,yes,A,CRITICAL,no,A41,Rogan,asphalt,,
19053481,Adams Street,residential,,B,HIGH,no,A41,Adams,,,
553375121,Adams Street,residential,,B,HIGH,no,A41,Adams,,,
19066262,Albion Avenue,residential,,B,HIGH,no,A41,Albion,asphalt,,
19066263,Albion Avenue,residential,,B,HIGH,no,A41,Albion,,,
31890369,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,,40 mph
31890371,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,,40 mph
530904820,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,,40 mph
530904821,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,,40 mph
542673606,Allen Road,tertiary,,B,HIGH,no,A41,Allen,asphalt,4,
542673607,Allen Road,tertiary,,B,HIGH,no,A41,Allen,asphalt,4,40 mph
542673611,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,,40 mph
542673612,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,3,40 mph
542673614,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,3,40 mph
542673615,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,5,40 mph
542673616,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,4,40 mph
543087099,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,3,40 mph
543087104,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,,40 mph
543087106,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,3,40 mph
543087107,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,3,40 mph
680116108,Allen Road,tertiary,,B,HIGH,no,A41,Allen,asphalt,,
1410885743,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,,40 mph
1410885744,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,3,40 mph
1456808950,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,,40 mph
1456808951,Allen Road,tertiary,,B,HIGH,no,A41,Allen,,3,40 mph
19060664,Allenhurst Boulevard East,residential,,B,HIGH,no,A41,Allenhurst,,,
1105049397,Allenhurst Boulevard East,residential,,B,HIGH,no,A41,Allenhurst,asphalt,,
